file,species,temperature,nutrients,sample_ID,date,mean.dens.ml,day
20230822_00190,Colpidium,28,5,C73,2023-08-22,326.20332,1
20230822_00191,Loxocephalus,28,1,L62,2023-08-22,448.459464,1
20230822_00192,Loxocephalus,28,2,L66,2023-08-22,25.8569262295082,1
20230822_00193,Tetrahymena,28,3,T69,2023-08-22,171.794184,1
20230822_00194,Colpidium,28,4,C71,2023-08-22,374.80668,1
20230822_00195,Tetrahymena,28,4,T72,2023-08-22,184.505832,1
20230822_00196,Loxocephalus,28,5,L75,2023-08-22,47.8646612903226,1
20230822_00197,Colpidium,28,3,C68,2023-08-22,241.521312,1
20230822_00198,Loxocephalus,28,2,L64,2023-08-22,81.130224,1
20230822_00199,Tetrahymena,28,3,T67,2023-08-22,51.033528,1
20230822_00200,Colpidium,28,1,C63,2023-08-22,122.256144,1
20230822_00201,Tetrahymena,28,2,T66,2023-08-22,41.499792,1
20230822_00202,Tetrahymena,28,5,T73,2023-08-22,70.101,1
20230822_00203,Loxocephalus,28,3,L68,2023-08-22,149.5488,1
20230822_00204,Tetrahymena,28,1,T63,2023-08-22,125.620992,1
20230822_00205,Loxocephalus,28,3,L67,2023-08-22,101.319312,1
20230822_00206,Tetrahymena,28,5,T74,2023-08-22,65.240664,1
20230822_00207,Loxocephalus,28,4,L72,2023-08-22,27.666528,1
20230822_00209,Tetrahymena,28,4,T71,2023-08-22,194.039568,1
20230822_00210,Tetrahymena,28,1,T61,2023-08-22,149.361864,1
20230822_00211,Colpidium,28,2,C64,2023-08-22,25.3306134453782,1
20230822_00212,Tetrahymena,28,3,T68,2023-08-22,28.788144,1
20230822_00213,Colpidium,28,4,C70,2023-08-22,211.798488,1
20230822_00214,Loxocephalus,28,1,L63,2023-08-22,100.758504,1
20230822_00215,Tetrahymena,28,2,T65,2023-08-22,243.95148,1
20230822_00216,Colpidium,28,2,C66,2023-08-22,94.963488,1
20230822_00217,Colpidium,28,4,C72,2023-08-22,23.367,1
20230822_00218,Tetrahymena,28,1,T62,2023-08-22,241.334376,1
20230822_00219,Loxocephalus,28,3,L69,2023-08-22,126.742608,1
20230822_00220,Colpidium,28,2,C65,2023-08-22,93.654936,1
20230822_00221,Loxocephalus,28,5,L74,2023-08-22,294.611136,1
20230822_00222,Colpidium,28,3,C67,2023-08-22,59.258712,1
20230822_00223,Colpidium,28,1,C61,2023-08-22,122.630016,1
20230822_00224,Loxocephalus,28,4,L71,2023-08-22,97.393656,1
20230822_00225,Tetrahymena,28,5,T75,2023-08-23,168.055464,2
20230823_00001,Tetrahymena,18,2,T6,2023-08-23,115.339512,2
20230823_00002,Colpidium,18,4,C10,2023-08-23,298.536792,2
20230823_00003,Loxocephalus,18,4,L10,2023-08-23,420.232128,2
20230823_00004,Loxocephalus,18,1,L3,2023-08-23,467.900808,2
20230823_00006,Colpidium,18,2,C6,2023-08-23,286.199016,2
20230823_00007,Colpidium,18,5,C15,2023-08-23,196.2828,2
20230823_00008,Tetrahymena,18,2,T4,2023-08-23,175.71984,2
20230823_00009,Loxocephalus,18,4,L12,2023-08-23,338.35416,2
20230823_00010,Colpidium,18,1,C2,2023-08-23,247.6902,2
20230823_00011,Colpidium,18,4,C11,2023-08-23,421.914552,2
20230823_00013,Tetrahymena,18,1,T3,2023-08-23,168.055464,2
20230823_00014,Colpidium,18,5,C14,2023-08-23,213.667848,2
20230823_00015,Colpidium,18,3,C7,2023-08-23,595.017288,2
20230823_00016,Tetrahymena,18,3,T7,2023-08-23,24.7918170731707,2
20230823_00017,Loxocephalus,18,1,L2,2023-08-23,482.481816,2
20230823_00018,Colpidium,18,2,C4,2023-08-23,575.389008,2
20230823_00019,Colpidium,18,5,C13,2023-08-23,201.703944,2
20230823_00020,Loxocephalus,18,2,L5,2023-08-23,739.892688,2
20230823_00021,Loxocephalus,18,2,L6,2023-08-23,818.77968,2
20230823_00022,Loxocephalus,18,3,L7,2023-08-23,910.004448,2
20230823_00023,Loxocephalus,18,3,L8,2023-08-23,970.571712,2
20230823_00024,Loxocephalus,18,5,L15,2023-08-23,189.926976,2
20230823_00025,Colpidium,18,1,C3,2023-08-23,253.859088,2
20230823_00026,Loxocephalus,18,4,L11,2023-08-23,429.9528,2
20230823_00027,Colpidium,18,3,C9,2023-08-23,254.419896,2
20230823_00028,Tetrahymena,18,3,T9,2023-08-23,89.355408,2
20230823_00029,Loxocephalus,18,5,L14,2023-08-23,280.030128,2
20230823_00030,Loxocephalus,18,3,L9,2023-08-23,554.26524,2
20230823_00031,Tetrahymena,18,1,T1,2023-08-23,157.96092,2
20230823_00032,Tetrahymena,18,1,T2,2023-08-23,122.816952,2
20230823_00033,Loxocephalus,18,2,L4,2023-08-23,333.867696,2
20230823_00034,Colpidium,18,3,C8,2023-08-23,270.870264,2
20230823_00035,Tetrahymena,18,2,T5,2023-08-23,134.406984,2
20230823_00036,Colpidium,18,1,C1,2023-08-23,298.349856,2
20230823_00037,Loxocephalus,18,1,L1,2023-08-23,384.901224,2
20230823_00038,Tetrahymena,18,3,T8,2023-08-23,23.367,2
20230823_00039,Loxocephalus,18,5,L13,2023-08-23,296.106624,2
20230823_00040,Tetrahymena,18,4,T10,2023-08-23,42.247536,2
20230823_00041,Tetrahymena,18,4,T11,2023-08-23,23.367,2
20230823_00042,Tetrahymena,18,4,T12,2023-08-23,33.461544,2
20230823_00043,Colpidium,18,2,C5,2023-08-23,743.257536,2
20230823_00045,Colpidium,18,4,C12,2023-08-23,439.112664,2
20230823_00046,Tetrahymena,21,5,T28,2023-08-23,23.367,2
20230823_00047,Loxocephalus,21,3,L23,2023-08-23,1043.289816,2
20230823_00048,Tetrahymena,21,2,T21,2023-08-23,64.679856,2
20230823_00049,Tetrahymena,21,1,T17,2023-08-23,186.188256,2
20230823_00050,Loxocephalus,21,2,L20,2023-08-23,743.818344,2
20230823_00051,Colpidium,21,3,C24,2023-08-23,485.659728,2
20230823_00052,Tetrahymena,21,1,T16,2023-08-23,82.064904,2
20230823_00053,Loxocephalus,21,1,L17,2023-08-23,603.616344,2
20230823_00054,Loxocephalus,21,4,L27,2023-08-23,811.30224,2
20230823_00055,Colpidium,21,2,C19,2023-08-23,299.845344,2
20230823_00056,Colpidium,21,5,C29,2023-08-23,359.290992,2
20230823_00057,Colpidium,21,5,C28,2023-08-23,249.185688,2
20230823_00058,Loxocephalus,21,1,L16,2023-08-23,850.184928,2
20230823_00059,Colpidium,21,4,C26,2023-08-23,466.779192,2
20230823_00060,Loxocephalus,21,3,L22,2023-08-23,778.775376,2
20230823_00061,Loxocephalus,21,2,L19,2023-08-23,527.15952,2
20230823_00062,Loxocephalus,21,5,L28,2023-08-23,251.802792,2
20230823_00063,Tetrahymena,21,3,T22,2023-08-23,23.367,2
20230823_00064,Tetrahymena,21,1,T18,2023-08-23,133.65924,2
20230823_00065,Colpidium,21,2,C20,2023-08-23,327.698808,2
20230823_00066,Colpidium,21,5,C30,2023-08-23,283.768848,2
20230823_00067,Tetrahymena,21,4,T27,2023-08-23,23.367,2
20230823_00068,Colpidium,21,1,C17,2023-08-23,290.498544,2
20230823_00069,Tetrahymena,21,2,T19,2023-08-23,114.03096,2
20230823_00072,Loxocephalus,21,3,L24,2023-08-23,1136.010072,2
20230823_00073,Colpidium,21,1,C18,2023-08-23,122.256144,2
20230823_00074,Tetrahymena,21,4,T26,2023-08-23,45.051576,2
20230823_00076,Tetrahymena,21,3,T24,2023-08-23,60.380328,2
20230823_00077,Tetrahymena,21,3,T23,2023-08-23,23.367,2
20230823_00078,Colpidium,21,3,C22,2023-08-23,573.89352,2
20230823_00079,Colpidium,21,4,C25,2023-08-23,295.171944,2
20230823_00080,Tetrahymena,21,2,T20,2023-08-23,96.085104,2
20230823_00081,Colpidium,21,1,C16,2023-08-23,209.36832,2
20230823_00082,Colpidium,21,2,C21,2023-08-23,425.840208,2
20230823_00083,Loxocephalus,21,2,L21,2023-08-23,598.756008,2
20230823_00084,Loxocephalus,21,1,L18,2023-08-23,961.224912,2
20230823_00085,Loxocephalus,21,5,L30,2023-08-23,377.797656,2
20230823_00086,Loxocephalus,21,5,L29,2023-08-23,580.249344,2
20230823_00087,Colpidium,21,3,C23,2023-08-23,504.7272,2
20230823_00088,Colpidium,21,4,C27,2023-08-23,547.72248,2
20230823_00089,Loxocephalus,21,4,L26,2023-08-23,799.525272,2
20230823_00090,Loxocephalus,21,4,L25,2023-08-23,283.581912,2
20230823_00091,Colpidium,24,1,C31,2023-08-23,73.652784,2
20230823_00092,Loxocephalus,24,3,L38,2023-08-23,1397.907408,2
20230823_00093,Loxocephalus,24,5,L45,2023-08-23,540.805848,2
20230823_00095,Loxocephalus,24,5,L43,2023-08-23,477.060672,2
20230823_00096,Loxocephalus,24,2,L34,2023-08-23,1070.956344,2
20230823_00097,Colpidium,24,2,C34,2023-08-23,26.17104,2
20230823_00098,Loxocephalus,24,1,L32,2023-08-23,750.174168,2
20230823_00100,Tetrahymena,24,5,T44,2023-08-23,23.367,2
20230823_00101,Colpidium,24,5,C44,2023-08-23,23.553936,2
20230823_00102,Tetrahymena,24,3,T39,2023-08-23,87.486048,2
20230823_00103,Tetrahymena,24,5,T43,2023-08-23,26.3820967741936,2
20230823_00104,Tetrahymena,24,3,T37,2023-08-23,46.734,2
20230823_00105,Tetrahymena,24,5,T45,2023-08-23,23.367,2
20230823_00106,Tetrahymena,24,1,T31,2023-08-23,175.906776,2
20230823_00107,Colpidium,24,3,C38,2023-08-23,41.312856,2
20230823_00108,Loxocephalus,24,4,L42,2023-08-23,1213.027704,2
20230823_00109,Tetrahymena,24,2,T36,2023-08-23,23.367,2
20230823_00110,Tetrahymena,24,1,T33,2023-08-23,165.43836,2
20230823_00111,Loxocephalus,24,1,L33,2023-08-23,473.88276,2
